Rock'n Kit,Kick1 Head,Kicks/Metal 2.sin,Kicks/Metal 1.sin
Rock'n Kit,Kick2 Head,,
Rock'n Kit,Snare1 Head,Snares/BJ DWMaple Center.sin,
Rock'n Kit,Snare1 Rim,Snares/BJ DWMaple Rimshot.sin,Snares/BronzeLgnd6x5 Rimshot.sin
Rock'n Kit,Tom1 Head,Toms/YamRock13in Center.sin,
Rock'n Kit,Tom1 Rim,Toms/YamRock13in Rim.sin,
Rock'n Kit,Tom2 Head,Toms/YamRock13in Center.sin,
Rock'n Kit,Tom2 Rim,Toms/YamRock16in Rim.sin,
Rock'n Kit,Tom3 Head,Toms/YamRock16in Center.sin,
Rock'n Kit,Tom3 Rim,Toms/YamRock16in Rim.sin,
Rock'n Kit,Tom4 Head,Toms/YamRock18in Center.sin,
Rock'n Kit,Tom4 Rim,Toms/YamRock18in Rim.sin,
Rock'n Kit,HiHat1 Bow,HiHats/BJ Zild13K Bow.sin,
Rock'n Kit,HiHat1 Edge,HiHats/BJ Zild13K Edge.sin,
Rock'n Kit,HiHat1 Foot Splash,HiHats/BJ Zild13K Pedal.sin,
Rock'n Kit,Crash1 Bow,Crashes/SoniPste18in2002 Bow.sin,
Rock'n Kit,Crash1 Edge,Crashes/SoniPste18in2002 Edge.sin,
Rock'n Kit,Crash2 Bow,Crashes/ZildMultiStacker Bow.sin,
Rock'n Kit,Crash2 Edge,Crashes/ZildMultiStacker Edge.sin,
Rock'n Kit,Crash3 Bow,Chinas&Splashes/ChinaSabBlackwell Bow.sin,
Rock'n Kit,Crash3 Edge,Chinas&Splashes/ChinaSabBlackwell Edge.sin,
Rock'n Kit,Ride1 Bell,Rides/Zild20inZCustom Bell.sin,
Rock'n Kit,Ride1 Bow,Rides/Zild20inZCustom Bow.sin,
Rock'n Kit,Ride1 Edge,Rides/Zild20inZCustom Edge.sin,
Pop Rock Kit,Kick1 Head,Kicks/Indie Rock.sin,
Pop Rock Kit,Kick2 Head,,
Pop Rock Kit,Snare1 Head,Snares/BronzeLgnd6x5 Center.sin,Snares/BronzeLgnd6x5 Rimshot.sin
Pop Rock Kit,Snare1 Rim,Snares/BronzeLgnd6x5 Rimshot.sin,Snares/BronzeLgnd6x5 XStick.sin
